video,Time(s)-sc,Time(s),Flight Code,Aircraft & origin-destination,flight time,Labeled Time(MM:SS),Labels,Labeled Time(s),,,video lengths(SS),video lengths(MM:SS),video lengths(s)
,655,1655926014, Cx105 , Airbus A350 Melbourne - Hong Kong , Flight Time: 7:00,10:51 , Cathay Pacific Airbus A350-900 Takeoff to Hong Kong,651,,,1637,27:17,1636
,690,1655926049, JQ35 , Boeing 787 Melbourne - Denpasar , Flight Time: 5:15,11:28 , Jetstar Boeing 787-8 Takeoff to Denpasar ,688,,,1508,25:08,1508
,765,1655926124, EK405 , Boeing 777 Melbourne ~ Singapore , Flight Time: 7:15,12:42 , Emirates Boeing 777-300ER Takeoff to Singapore ,762,,,1349,22:29,1348
,903,1655926262, Ble , Boeing 787 Melbourne - Brunei , Flight Time: 6:00,15:01 , Royal Brunei Airlines Boeing 787-8 Takeoff to Brunei ,901,,,1276,21:16,1275
,956,1655926315, SQ227 , Boeing 777 Singapore - Melbourne , Flight Time: 7:00,16:00 , Singapore Airlines Boeing 777-300ER Landing from Singapore,960,,,1295,21:35,1294
,1011,1655926370, JD46e1 , Airbus A330 Qingdao - Melbourne , Flight Time: 10:45,16:46 , Capital Airlines Airbus A330-200 Landing from Qingdao ,1006,,,1308,21:48,1308
,1068,1655926427, K9352 , Boeing 777F Melbourne - Hong Kong , Flight Time: 7:00,17:45 , Emirates Boeing 777-200F Takeoff to Hong Kong,1065,,,1265,21:05,1264
,1108,1655926467, SQ228 , Boeing 777 Melbourne - Singapore , Flight Time: 7:00,18:11 , Singapore Airlines Boeing 777-300ER Takeoff to Singapore,1091,,,8573,2:22:53,8572
,1145,1655926504, EY463 , Boeing 787 Melbourne ~ Abu Dhabi , Flight Time: 13:30,18:48 , Etihad Airways Boeing 787-9 Takeoff to Abu Dhabi ,1128,,,1823,30:23,1822
,1182,1655926541, QF409 , Airbus A330 Sydney - Melbourne , Flight Time: 1:00,19:32 , Qantas Airbus A330-200 Landing from Sydney,1172,,,1274,21:14,1273
,1215,1655926574, VAes4 , Boeing 737 Perth - Melbourne , Flight Time: 3:30,20:15 , Virgin Australia Boeing 787-800 Landing from Perth,1215,,,1183,19:43,1182
,1242,1655926601, LAso4 , Boeing 787 Santiago - Melbourne , Flight Time: 12:25,20:37 , LATAM Boeing 787-9 Landing from Santiago ,1237,,,1206,20:06,1205
,1283,1655926642, VA2Z61, ATR-72-600 Melbourne - Canberra , Flight Time: 0:50,21:21 , Virgin Australia ATR 72-600 Takeoff to Canberra ,1281,,,1203,20:03,1202
,1312,1655926671, $Q2z48 , Boeing 777 Melbourne - Singapore , Flight Time: 7:00,21:55 , Singapore Airlines Boeing 777-200ER Takeoff to Singapore ,1315,,,1365,22:45,1365
,1350,1655926709, FUq931 , Boeing 737 Nadi - Melbourne , Flight Time: 5:00,22:28 , Fiji Airways Boeing 737-800 Landing from Nadi,1348,,,1311,21:51,1310
,1379,1655926738, QFa , Airbus A580 Dubai - Melbourne , Flight Time: 13:10,22:58 , Qantas Airbus A380-800 Landing from Dubai ,1378,,,1669,27:49,1668
,1424,1655926783, VA1851 , Airbus A320 Melbourne - Kalgoorlie , Flight Time: 3:30,23:42 , Virgin Australia Airbus A320-200 Takeoff to Kalgoorlie ,1422,,,1253,20:53,1252
,1456,1655926815, QF2080 , Dash-8 Q400 Melbourne ~ Mildura , Flight Time: 0:50,24:15 , QantasLink Dash 8 Q400 Takeoff to Mildura ,1455,,,1204,20:04,1204
,1481,1655926840, MH148 , Airbus A330 Melbourne - Kuala Lumpur , Flight Time: 7:30,24:41 , Malaysia Airlines Airbus A330-300 Takeoff to Kuala Lumpur ,1481,,,1356,22:36,1355
,1516,1655926875, VAG84 , Airbus A330 Perth - Melbourne , Flight Time: 3:30,25:12 , Virgin Australia Airbus A330-200 Landing from Perth,1512,,,1225,20:25,1225
,1555,1655926914, QF1S27 , Boeing 717 Canberra - Melbourne , Flight Time: 0:45,25:52 , Qantas Boeing 717-200 Landing from Canberra ,1552,,,,,
,1594,1655926953, SQ7293 , Boeing 747F Melbourne - Singapore , Flight Time: 7:00,26:32 , Singapore Airlines Cargo Boeing 747-400F Takeoff to Singapore ,1592,,,,,
,1629,1655926988, TG466 , Airbus A350 Melbourne - Bangkok , Flight Time: 8:10,27:14 , Thai Airways Airbus A350-900 Takeoff to Bangkok ,1634,,,,,
,1694,1655927053, QFqS , Boeing 747 Melbourne ~ Los Angeles , Flight Time: 13:50,28:11 , Qantas Boeing 747-400ER Takeoff to Los Angeles ,1691,,,,,
,1799,1655927158, MU738 , Boeing 787 Melbourne - Shanghai , Flight Time: 10:35,29:55 , Shanghai Airlines Boeing 787-9 Takeoff to Shanghai ,1795,,,,,
,1855,1655927214, ULeo4 , Airbus A330 Colombo - Melbourne , Flight Time: 10:15,30:57 , SriLankan Airlines Airbus A330-300 Landing from Colombo ,1857,,,,,
,1890,1655927249, TL134 , Embraer E-170 Toowoomba - Melbourne , Flight Time: 2:05,31:27 , Airnorth Embraer E170 Landing from Toowoomba ,1887,,,,,
,1923,1655927282, QF467 , Boeing 737 Sydney - Melbourne , Flight Time: 1:00,32:01 , Qantas Boeing 737-800 Landing from Sydney,1921,,,,,
,1945,1655927304, TTS82 , Airbus A320 Melbourne - Cairns , Flight Time: 3:00,32:25 , Tigerair Airbus A320-200 Takeoff to Cairns ,1945,,,,,
,1975,1655927334, TT4S1 , Boeing 737 Melbourne ~ Adelaide , Flight Time: 0:45,32:53 , Tigerair Boeing 737-800 Takeoff to Adelaide ,1973,,,,,
,2001,1655927360, QRI04 , Airbus A380 Doha - Melbourne , Flight Time: 13:45,33:20 , Qatar Airways Airbus A380-800 Landing from Doha ,2000,,,,,
2,2147,1655927506, BIsS , Airbus A340 Brunei ~ Melbourne , Flight Time: 6:00,00:00 , HiFly Airbus A340-300 Landing from Brunei ,0,,,,,
https://youtu.be/LdiVcNy5r2U,2200,1655927559, QRI04 , Airbus A380 Doha - Melbourne , Flight Time: 13:45,00:54 , Qatar Airways Airbus A380-800 Landing from Doha ,54,,,,,
,2252,1655927611, EY460 , Boeing 777 Abu Dhabi - Melbourne , Flight Time: 13:25,01:47 , Etihad Airways Boeing 777-300ER Landing from Abu Dhabi ,107,,,,,
,2283,1655927642, SQ227 , Boeing 777 Singapore - Melbourne , Flight Time: 7:00,02:18 , Singapore Airlines Boeing 777-300ER Landing from Singapore ,138,,,,,
,2322,1655927681, JQ36 , Boeing 787 Denpasar - Melbourne , Flight Time: 5:00,02:57 , Jetstar Boeing 787-8 Landing from Denpasar,177,,,,,
,2452,1655927811, S$Q208 , Airbus A350 Melbourne - Singapore , Flight Time: 7:00,05:07 , Singapore Airlines Airbus A350-900 Takeoff to Singapore ,307,,,,,
,2523,1655927882, CX134 , Airbus A350 Melbourne - Hong Kong , Flight Time: 7:00,06:18 , Cathay Pacific Airbus A350-900 Takeoff to Hong Kong ,378,,,,,
,2566,1655927925, EK9820 , Boeing 777F Sydney - Melbourne , Flight Time: 1:00,07:01 , Emirates SkyCargo Boeing 777-200F Landing from Sydney,421,,,,,
,2621,1655927980, QFq , Boeing 787 Melbourne - Perth , Flight Time: 3:30,07:57 , Qantas Boeing 787-9 Takeoff to Perth,477,,,,,
,2661,1655928020, QF417 , Boeing 747 Sydney - Melbourne , Flight Time: 1:00,08:36 , Qantas Airbus A330-200 Landing from Sydney,516,,,,,
,2695,1655928054, GA722 , Airbus A330 Denpasar - Melbourne , Flight Time: 5:00,09:10 , Garuda Indonesia Airbus A330-300 Landing from Denpasar,550,,,,,
,2739,1655928098, CXISS , Airbus A550 Hong Kong - Melbourne , Flight Time: 9:00,09:54 , Cathay Pacific Airbus A330-300 Landing from Hong Kong,594,,,,,
,2777,1655928136, QFq , Boeing 787 Melbourne - Perth , Flight Time: 3:30,10:32 , Qantas Boeing 787-9 Takeoff to Perth ,632,,,,,
,2797,1655928156, EY463 , Boeing 777 Melbourne - Abu Dhabi , Flight Time: 13:30,10:52 , Etihad Airways Boeing 777-300ER Takeoff to Abu Dhabi ,652,,,,,
,2827,1655928186, TG466 , Airbus A350 Melbourne - Bangkok , Flight Time: 8:10,11:21 , Thai Airways Boeing 777-300ER Takeoff to Bangkok,681,,,,,
,2858,1655928217, MH148 , Airbus A330 Melbourne - Kuala Lumpur , Flight Time: 7:30,11:53 , Malaysia Airlines Airbus A330-300 Takeoff to Kuala Lumpur ,713,,,,,
,2889,1655928248, P0247 , Boeing 747F Melbourne - Shenzhen , Flight Time: 9:20,12:21 , Polar Air Cargo Boeing 747-400F Takeoff to Shenzhen ,741,,,,,
,,,,,,11:28 , Jetstar Boeing 787-8 Takeoff to Denpasar ,688,,,,,
,,,,,,12:42 , Emirates Boeing 777-300ER Takeoff to Singapore ,762,,,,,
,2961,1655928320, LA80S , Boeing 787 Melbourne ~ Santiago , Flight Time: 12:25,13:36 , LATAM Airlines Boeing 787-9 Takeoff to Santiago ,816,,,,,
,3015,1655928374, cis7 , Airbus Aso Taipei - Melbourne , Flight Time: 10:35,14:30 , China Airlines Airbus A350-900 Landing from Taipei ,870,,,,,
,3044,1655928403, $B111 , Airbus A330 Melbourne - Noumea , Flight Time: 3:50,14:59 , Air Caraibes Airbus A330-200 Takeoff to Noumea ,899,,,,,
,3076,1655928435, FJq34 , Airbus A530 Melbourne - Nadi , Flight Time: 5:00,15:32 , Fiji Airways Airbus A330-200 Takeoff to Nadi,932,,,,,
,3106,1655928465, D7215 , Airbus A330 Melbourne - Kuala Lumpur , Flight Time: 7:30,16:01 , AirAsia X Airbus A330-300 Takeoff to Kuala Lumpur ,961,,,,,
,3134,1655928493, NZ130 , Boeing 777 Melbourne ~ Auckland , Flight Time: 3:30,16:29 , Air New Zealand Boeing 777-200 Takeoff to Auckland ,989,,,,,
,3165,1655928524, VN780 , Airbus A350 Melbourne - Ho Chi Minh City , Flight Time: 8:20,17:00 , Vietnam Airlines Airbus A350-900 Takeoff to Ho Chi Minh City ,1020,,,,,
,3222,1655928581, NZ124 , Boeing 777 Melbourne ~ Auckland , Flight Time: 3:30,17:57 , Air New Zealand Boeing 777-300ER Takeoff to Auckland ,1077,,,,,
,3270,1655928629, TG4es , Airbus A350 Bangkok - Melbourne , Flight Time: 8:10,18:45 , Thai Airways Airbus A350-900 Landing from Bangkok,1125,,,,,
,3309,1655928668, NZ123 , Boeing 777 Auckland - Melbourne , Flight Time: 3:30,19:24 , Air New Zealand Boeing 777-300ER Landing from Auckland ,1164,,,,,
,3341,1655928700, QF409 , Airbus A330 Sydney - Melbourne , Flight Time: 1:00,19:56 , Qantas Airbus A330-200 Landing from Sydney,1196,,,,,
,3395,1655928754, QF79 , Airbus A330 Melbourne - Tokyo , Flight Time: 11:15,20:50 , Qantas Airbus A330-200 Takeoff to Tokyo ,1250,,,,,
,3486,1655928845, JQ35 , Boeing 787 Melbourne - Denpasar , Flight Time: 5:15,22:21 , Jetstar Boeing 787-8 Takeoff to Denpasar ,1341,,,,,
,3532,1655928891, CIS7 , Boeing 777 Taipei - Melbourne , Flight Time: 10:10,23:07 , China Airlines Boeing 777-300ER Landing from Taipei ,1387,,,,,
,3568,1655928927, VA8@ , Airbus A330 Hong Kong - Melbourne , Flight Time: 7:00,23:43 , Virgin Australia Airbus A330-200 Landing from Hong Kong,1423,,,,,
,3607,1655928966, TR2S , Boeing 787 Singapore - Melbourne , Flight Time: 7:00,24:22 , FlyScoot Boeing 787-9 Landing from Singapore ,1462,,,,,
,3674,1655929033, QFqI3 , Airbus A380 Melbourne ~ Los Angeles , Flight Time 13:55,25:21 , Qantas Airbus A380-800 Takeoff to Los Angeles ,1521,,,,,
,3764,1655929123, BIs4 , Boeing 787 Melbourne - Brunei , Flight Time: 6:10,27:00 , Royal Brunei Airlines Boeing 787-8 Takeoff to Brunei ,1620,,,,,
,3861,1655929220, VA23 , Boeing 777 Melbourne - Los Angeles , Flight Time: 13:45,28:36 , Virgin Australia Boeing 777-300ER Takeoff to Los Angeles ,1716,,,,,
,3928,1655929287, QF7S349 , Boeing 767F Melbourne - Sydney , Flight Time: 1:00,29:43 , Qantas Freight Boeing 767-300F Takeoff to Sydney,1783,,,,,
3,4124,1655929483, TG46S , Boeing 777 Bangkok - Melbourne , Flight Time: 8:15,00:00 , Thai Airways Boeing 777-300ER Landing from Bangkok ,0,,,,,
https://youtu.be/VYzj1JeLyPQ,4164,1655929523, MU737 , Airbus A330 Shanghai - Melbourne , Flight Time: 10:20,00:48 , Shanghai Airlines Airbus A330-200 Landing from Shanghai ,48,,,,,
,4209,1655929568, TR2S , Boeing 787 Singapore - Melbourne , Flight Time: 7:00,01:28 , FlyScoot Boeing 787-9 Landing from Singapore ,88,,,,,
,4247,1655929606, Ek404 , Airbus A380 Singapore - Melbourne , Flight Time: 7:00,02:10 , Emirates Airbus A380-800 Landing from Singapore ,130,,,,,
,4285,1655929644, D7214 , Airbus A330 Kuala Lumpur - Melbourne , Flight Time: 7:45,02:48 , AirAsia X Airbus A330-300 Landing from Kuala Lumpur ,168,,,,,
,4319,1655929678, MH14@ , Airbus A330 Kuala Lumpur - Melbourne , Flight Time: 7:30,03:17 , Malaysia Airlines Airbus A330-300 Landing from Kuala Lumpur ,197,,,,,
,4371,1655929730, UL@os , Airbus A330 Melbourne - Colombo , Flight Time: 10:15,04:09 , SriLankan Airlines Airbus A330-300 Takeoff to Colombo ,249,,,,,
,4405,1655929764, YQ2 , Boeing 787 Honolulu - Melbourne , Flight Time: 10:05,04:42 , Jetstar Boeing 787-8 Landing from Honolulu ,282,,,,,
,4423,1655929782, VA87 , Airbus A330 Melbourne - Hong Kong , Flight time: 9:00,05:05 , Virgin Australia Airbus A330-200 Takeoff to Hong Kong,305,,,,,
,4452,1655929811, CX104 , Airbus ASSO Hong Kong - Melbourne , Flight Time: 9:00,05:30 , Cathay Pacific Airbus A350-900 Landing from Hong Kong,330,,,,,
,4524,1655929883, SQ7295 , Boeing 747F Auckland - Melbourne , Flight Time: 3:30,06:42 , Singapore Airlines Cargo Boeing 747-400F Landing from Auckland ,402,,,,,
,4584,1655929943, Cls7 , Airbus A330 Taipei - Melbourne , Flight Time: 10:10,07:42 , China Airlines Airbus A330-300 Landing from Taipei,462,,,,,
,4654,1655930013, MU734 , Airbus A330 Shanghai - Melbourne , Flight Time: 10:00,08:54 , China Eastern Airlines Airbus A330-200 Landing from Shanghai ,534,,,,,
,4688,1655930047, VA1L323 , Embraer E-190 Hobart - Melbourne , Flight Time: 0:45,09:28 , Virgin Australia Embraer E190 Landing from Hobart ,568,,,,,
,4720,1655930079, QF80 , Airbus A330 Tokyo - Melbourne , Flight Time: 11:45,09:58 , Qantas Airbus A330-300 Landing from Tokyo,598,,,,,
,4750,1655930109, QFa4 , Airbus A380 Los Angeles - Melbourne , Flight Time: 13:50,10:29 , Qantas Airbus A380-800 Landing from Los Angeles ,629,,,,,
,4795,1655930154, JQ3O0 , Boeing 787 Bangkok - Melbourne , Flight Time: 8:10,11:18 , Jetstar Boeing 787-8 Landing from Bangkok,678,,,,,
,4837,1655930196, NZ123 , Boeing 777 Auckland - Melbourne , Flight Time: 3:30,11:58 , Air New Zealand Boeing 777-300ER Landing from Auckland ,718,,,,,
,4893,1655930252, CX24 , Boeing 747F Melbourne - Hong Kong , Flight Time: 4:15,12:52 , Cathay Pacific Cargo Boeing 747-8F Takeoff to Hong Kong ,772,,,,,
,4929,1655930288, JD4e@2 , Airbus A330 Melbourne ~ Qingdao , Flight Time: 10:45,13:28 , Capital Airlines Airbus A330-200 Takeoff to Qingdao ,808,,,,,
,4962,1655930321, PR208 , Airbus A330 Melbourne - Manila , Flight Time: 8:45,13:57 , Philippine Airlines Airbus A330-300 Takeoff to Manila ,837,,,,,
,5008,1655930367, JQ443 , Airbus A320 Gold Coast - Melbourne , Flight Time: 1:45,14:49 , Jetstar Airbus A320-200 Landing from Gold Coast,889,,,,,
,5085,1655930444, Ek405 , Airbus A380 Melbourne - Singapore , Flight Time: 7:00,16:07 , Emirates Airbus A380-800 Takeoff to Singapore ,967,,,,,
,5125,1655930484, QF409 , Airbus A330 Sydney - Melbourne , Flight Time: 1:00,16:50 , Qantas Airbus A330-200 Landing from Sydney ,1010,,,,,
,5172,1655930531, SQ247 , Airbus A530 Singapore ~ Melbourne , Flight Time: 7:00,17:33 , Singapore Airlines Airbus A330-300 Landing from Singapore ,1053,,,,,
,5245,1655930604, BAVIO88 , Boeing 787 Hanoi - Melbourne , Flight Time: 8:35,18:50 , Bamboo Airlines Boeing 787-9 Landing from Hanoi ,1130,,,,,
,5318,1655930677, SQ227 , Boeing 777 Singapore - Melbourne , Flight Time: 7:00,19:57 , Singapore Airlines Boeing 777-300ER Landing from Singapore ,1197,,,,,
,5402,1655930761, QFqI3 , Airbus A380 Melbourne ~ Los Angeles , Flight Time 13:55,21:22 , Qantas Airbus A380-800 Takeoff to Los Angeles ,1282,,,,,
,5474,1655930833, VA23 , Boeing 777 Melbourne - Los Angeles , Flight Time: 13:45,22:27 , Boeing 777 Takeoff to Los Angeles,1347,,,,,
,5512,1655930871, VN781 , Boeing 787 Ho Chi Minh City - Melbourne , Flight Time: 8:05,23:10 , Vietnam Airlines Boeing 787-9 Landing from Ho Chi Minh City ,1390,,,,,
,5567,1655930926, VA8@ , Airbus A330 Hong Kong - Melbourne , Flight Time: 7:00,24:08 , Virgin Australia Airbus A330-200 Landing from Hong Kong,1448,,,,,
,5653,1655931012, CXISS , Airbus A550 Hong Kong - Melbourne , Flight Time: 9:00,25:31 , Cathay Pacific Airbus A330-300 Landing from Hong Kong,1531,,,,,
,5755,1655931114, GA716 , Airbus A330 Jakarta - Melbourne , Flight Time: 6:05,27:16 , Garuda Indonesia Airbus A330-200 Landing from Jakarta ,1636,,,,,
,5828,1655931187, NZ123 , Boeing 777 Auckland - Melbourne , Flight Time: 3:30,28:26 , Air New Zealand Boeing 777-300ER Landing from Auckland ,1706,,,,,
,5898,1655931257, NZ124 , Boeing 777 Melbourne ~ Auckland , Flight Time: 3:30,29:36 , Air New Zealand Boeing 777-300ER Takeoff to Auckland ,1776,,,,,
,5958,1655931317, SQ248 , Boeing 777 Melbourne - Wellington , Flight Time: 3:45,30:36 , Singapore Airlines Boeing 777-200ER Takeoff to Wellington ,1836,,,,,
,6028,1655931387, QF478 , Boeing 737 Melbourne - Sydney , Flight Time: 1:00,31:48 , Qantas Boeing 737-800 Takeoff to Sydney ,1908,,,,,
4,6109,1655931468, EK9826, Boeing 777F Sydney - Hong Kong , Flight Time: 8:50,00:00 , Emirates SkyCargo Boeing 777-200F Takeoff to Hong Kong,0,,,,,
https://youtu.be/sOHzKgiF_-Q,6166,1655931525, 3U8654 , Airbus A330 Chongqing - Sydney , Flight Time: 10:20,01:04 , Sichuan Airlines Airbus A330-300 Landing from Chingqing ,64,,,,,
,6214,1655931573, CAL74 , Airbus A330 Beijing - Sydney , Flight Time: 12:10,01:48 , Air China Airbus A330-300 Landing from Beijing ,108,,,,,
,6267,1655931626, SV30SS5 , Boeing 787 Sydney - Riyadh , Flight Time: 13:45,02:40 , Saudi Arabia Boeing 787-9 Takeoff to Riyadh ,160,,,,,
,6297,1655931656, CX28 , Boeing 747F Sydney - Melbourne , Flight Time: 1:00,03:11 , Cathay Pacific Boeing 747-8F Takeoff to Melbourne ,191,,,,,
,6335,1655931694, MH6207 , Airbus A330F Kuala Lumpur - Sydney , Flight Time: 7:00,03:48 , MasKargo Airbus A330-200F Landing from Kuala Lumpur ,228,,,,,
,6352,1655931711, QF7S52 , Boeing 747F Auckland - Sydney , Flight Time: 3:00,04:08 , Atlas Air Boeing 747-400F Landing from Auckland,248,,,,,
,6396,1655931755, CAL74 , Airbus A330 Beijing - Sydney , Flight Time: 12:10,04:49 , Air China Airbus A330-300 Landing from Beijing,289,,,,,
,6442,1655931801, 5X34 , Boeing 747F Honolulu - Sydney , Flight Time: 4:30,05:37 , UPS Boeing 747-8F Landing from Honolulu ,337,,,,,
,6488,1655931847, 5X34 , Boeing 747F Honolulu - Sydney , Flight Time: 4:30,06:25 , UPS Boeing 747-8F Landing from Honolulu ,385,,,,,
,6529,1655931888, FX77 , McDonnell Douglas MD-11F Honolulu - Sydney , Flight Time: 10:05,07:08 , FedEx McDonnell Douglas MD-11F Landing from Honolulu ,428,,,,,
,6564,1655931923, SQ241 , Boeing 787 Singapore - Sydney , Flight Time: 7:00,07:37 , Singapore Airlines Boeing 787-10 Landing from Singapore ,457,,,,,
,6603,1655931962, QFS80 , Airbus A530 Perth - Sydney , Flight Time: 3:45,08:16 , Qantas Airbus A330-300 Landing from Perth,496,,,,,
,6633,1655931992, ON@41 , Boeing 737 Brisbane - Sydney , Flight Time: 0:50,08:46 , Nauru Airlines Boeing 737-300 Landing from Brisbane ,526,,,,,
,6677,1655932036, SV2054 , Boeing 787 Riyadh - Sydney , Flight Time: 13:45,09:30 , Saudi Arabia Boeing 787-9 Landing from Riyadh ,570,,,,,
,6726,1655932085, QF7S81 , Boeing 747F Sydney - Bangkok , Flight Time: 9:00,10:15 , Atlas Air Boeing 747-8F Takeoff to Bangkok,615,,,,,
,6766,1655932125, UA870, Boeing 777 Sydney - San Francisco , Flight Time: 13:00,10:58 , United Airlines Boeing 777-300ER Takeoff to San Francisco ,658,,,,,
,6806,1655932165, CX101 , Boeing 777 Hong Kong - Sydney , Flight Time: 7:00,11:42 , Cathay Pacific Cargo Boeing 777-300ER Landing from Hong Kong,702,,,,,
,6857,1655932216, QF7S81 , Boeing 747F Sydney - Bangkok , Flight Time: 9:00,12:30 , Atlas Air Boeing 747-8F Landing from Honolulu ,750,,,,,
,6902,1655932261, HJ1 , Boeing 757 Auckland - Sydney , Flight Time: 3:00,13:15 , DHL Boeing 757-200 Landing from Auckland ,795,,,,,
,6954,1655932313, QRIOG , Boeing 777 Doha - Sydney , Flight Time: 14:15,14:09 , Qatar Airways Boeing 777-300ER Landing from Doha ,849,,,,,
,7006,1655932365, QF12 , Airbus A380 Los Angeles - Sydney , Flight Time: 14:30,14:59 , Qantas Airbus A380-800 Landing from Los Angeles ,899,,,,,
,7038,1655932397, TG476 , Boeing 747 Sydney - Bangkok , Flight Time: 7:00,15:54 , Thai Airways Boeing 747-400 Takeoff to Bangkok,954,,,,,
,7115,1655932474, YL772 , Boeing 787 Sydney - Tokyo , Flight Time: 4:45,17:19 , Japan Airlines Boeing 787-9 Takeoff to Tokyo ,1039,,,,,
,7220,1655932579, LA800 , Boeing 787 Sydney - Auckland , Flight Time: 3:00,18:32 , Latam Airlines Boeing 787-9 Takeoff to Auckland ,1112,,,,,
,7248,1655932607, CX28 , Boeing 747F Hong Kong - Sydney , Flight Time 9:00,18:59 , Cathay Pacific Cargo Boeing 747-8F Landing from Hong Kong,1139,,,,,
,7301,1655932660, JL771 , Boeing 787 Tokyo - Sydney , Flight Time: 7:45,19:58 , Japan Airlines Boeing 787-9 Landing from Tokyo  ,1198,,,,,
,7338,1655932697, QF20 , Airbus A530 Manila - Sydney , Flight Time: 8:00,20:30 , Qantas Airbus A330-200 Landing from Manila ,1230,,,,,
,7412,1655932771, TG47S , Boeing 747 Bangkok - Sydney , Flight Time: 9:00,21:43 , Thai Airways Boeing 747-400 Landing from Bangkok ,1303,,,,,
,7542,1655932901, EK9826, Boeing 777F Sydney - Hong Kong , Flight Time: 8:50,23:50 , Emirates SkyCargo Boeing 777-200F Takeoff to Hong Kong,1430,,,,,
,7580,1655932939, CX101 , Boeing 777 Hong Kong - Sydney , Flight Time: 7:00,24:32 , Cathay Pacific Boeing 777-300ER Landing from Hong Kong,1472,,,,,
,7688,1655933047, NH87@ , Boeing 787 Tokyo - Sydney , Flight Time: 4:25,26:21 , ANA Boeing 787-9 Landing from Tokyo ,1581,,,,,
,7711,1655933070, VN787 , Boeing 787 Hanoi - Sydney , Flight Time: 10:10,26:43 , Vietnam Airlines Boeing 787-9 Landing from Hanoi ,1603,,,,,
,7777,1655933136, KE122 , Airbus A380 Sydney - Seoul , Flight Time: 11:00,27:53 , Korean Air Airbus A380-800 Takeoff to Seoul ,1673,,,,,
5,7870,1655933229, Ek404 , Airbus A380 Singapore - Melbourne , Flight Time: 7:00,00:00 , Emirates Airbus A380 Landing from Singapore,0,,,,,
https://youtu.be/xCCXFWC8wNw,7905,1655933264, QRI04 , Airbus A380 Doha - Melbourne , Flight Time: 13:45,00:48 , Qatar Airways Airbus A380 Landing from Doha,48,,,,,
,7968,1655933327, QFa4 , Airbus A380 Los Angeles - Melbourne , Flight Time: 13:50,01:40 , Qantas Airbus A380 Landing from Los Angeles ,100,,,,,
,8003,1655933362, EY460 , Airbus A380 Abu Dhabi - Melbourne , Flight Time: 13:30,02:16 , Etihad Airways Airbus A380 Landing from Abu Dhabi ,136,,,,,
