segment_id,time_interval,name,link
-4RWqM0UCCY_0,"[(5.287, 6.201), (6.576, 7.254), (7.386, 8.203)]","['Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking']",['youtu.be/-4RWqM0UCCY']
-4YIeHfuJrU_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-4YIeHfuJrU']
-5-vQemteOc_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-5-vQemteOc']
-50jQAjJC9A_15000,"[(0.008, 6.449)]",['Mediumengine(midfrequency)'],['youtu.be/-50jQAjJC9A']
-574Zi5ta6g_50000,"[(2.741, 3.05), (4.943, 5.264)]","['Airbrake', 'Airbrake']",['youtu.be/-574Zi5ta6g']
-5KBSlu3DQc_30000,"[(0.0, 10.0)]",['Motorboat_speedboat'],['youtu.be/-5KBSlu3DQc']
-5QrBL6MzLg_60000,"[(8.997, 9.219), (9.343, 10.0)]","['Trainwheelssquealing', 'Trainwheelssquealing']",['youtu.be/-5QrBL6MzLg']
-5S70zOSw30_30000,"[(0.0, 10.0)]",['Heavyengine(lowfrequency)'],['youtu.be/-5S70zOSw30']
-5bUWtaoJ7U_40000,"[(8.254, 10.0)]",['Trainwheelssquealing'],['youtu.be/-5bUWtaoJ7U']
-5ddA2hIm8M_30000,"[(0.0, 10.0)]",['Racecar_autoracing'],['youtu.be/-5ddA2hIm8M']
-69w3oitfZ8_21000,"[(3.529, 4.241), (6.464, 6.921)]","['Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking']",['youtu.be/-69w3oitfZ8']
-6MQKGRL--M_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-6MQKGRL--M']
-6WqJCSmkCw_70000,"[(9.024, 9.795), (3.394, 10.0)]","['Vehiclehorn_carhorn_honking', 'Trafficnoise_roadwaynoise']",['youtu.be/-6WqJCSmkCw']
-6f3Lc3Fqnc_27000,"[(0.0, 9.757)]",['Motorboat_speedboat'],['youtu.be/-6f3Lc3Fqnc']
-6juGO8y8es_10000,"[(0.0, 3.764)]",['Mediumengine(midfrequency)'],['youtu.be/-6juGO8y8es']
-6qSMlbJJ58_30000,"[(7.395, 7.684)]",['Airbrake'],['youtu.be/-6qSMlbJJ58']
-74dab6wYqU_30000,"[(7.163, 8.14)]",['Vehiclehorn_carhorn_honking'],['youtu.be/-74dab6wYqU']
-7ITb2QLsvg_30000,"[(0.0, 9.984)]",['Mediumengine(midfrequency)'],['youtu.be/-7ITb2QLsvg']
-7LBtdl8Kbk_60000,"[(8.382, 9.165)]",['Tiresqueal'],['youtu.be/-7LBtdl8Kbk']
-7N0WXz3ZV8_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-7N0WXz3ZV8']
-7SNH8SUM0I_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-7SNH8SUM0I']
-7yYtJcdCiU_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-7yYtJcdCiU']
-8baTnilyjs_30000,"[(0.0, 10.0), (2.402, 3.702)]","['Trafficnoise_roadwaynoise', 'Airhorn_truckhorn']",['youtu.be/-8baTnilyjs']
-8eJnDSl80k_30000,"[(0.0, 0.531), (0.976, 1.749), (5.517, 8.039)]","['Airhorn_truckhorn', 'Airhorn_truckhorn', 'Airhorn_truckhorn']",['youtu.be/-8eJnDSl80k']
-8n2NqDFRko_30000,"[(1.103, 1.474), (2.114, 3.639), (3.825, 4.815), (6.093, 9.124)]","['Airhorn_truckhorn', 'Airhorn_truckhorn', 'Tiresqueal', 'Airhorn_truckhorn']",['youtu.be/-8n2NqDFRko']
-8zv-p2-fRY_100000,"[(1.729, 2.01), (4.725, 5.019)]","['Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking']",['youtu.be/-8zv-p2-fRY']
-93IM29_8rs_14000,"[(0.0, 9.174)]",['Mediumengine(midfrequency)'],['youtu.be/-93IM29_8rs']
-9Ew7d3MLTw_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-9Ew7d3MLTw']
-9J9xs7LM9Y_25000,"[(0.0, 9.523)]",['Bus'],['youtu.be/-9J9xs7LM9Y']
-ADTZNx531s_340000,"[(6.0, 10.0)]",['Trafficnoise_roadwaynoise'],['youtu.be/-ADTZNx531s']
-AOKl0JhGQM_30000,"[(0.0, 6.056)]",['Mediumengine(midfrequency)'],['youtu.be/-AOKl0JhGQM']
-AV028hx__I_18000,"[(0.0, 9.394)]",['Motorcycle'],['youtu.be/-AV028hx__I']
-AXDeY-N2_M_30000,"[(0.787, 5.724)]",['Carpassingby'],['youtu.be/-AXDeY-N2_M']
-Acjd39CmCI_30000,"[(9.187, 9.661)]",['Airbrake'],['youtu.be/-Acjd39CmCI']
-AcwZ-xmAKY_90000,"[(0.0, 10.0)]",['Helicopter'],['youtu.be/-AcwZ-xmAKY']
-AmwF0ozTs4_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-AmwF0ozTs4']
-B9XpiViAv0_30000,"[(3.033, 10.0)]",['Fixed-wingaircraft_airplane'],['youtu.be/-B9XpiViAv0']
-Bds7slIyiA_20000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-Bds7slIyiA']
-Bs5Jh0dm4U_160000,"[(1.982, 2.437), (2.946, 3.904), (4.386, 5.377), (5.642, 6.198), (6.47, 6.87), (7.21, 7.488)]","['Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking']",['youtu.be/-Bs5Jh0dm4U']
-CepfaU3-ZY_13000,"[(0.0, 9.285)]",['Mediumengine(midfrequency)'],['youtu.be/-CepfaU3-ZY']
-CsnNy_s4EY_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-CsnNy_s4EY']
-D2bTFqszS8_250000,"[(0.0, 10.0)]",['Heavyengine(lowfrequency)'],['youtu.be/-D2bTFqszS8']
-DFxxh25OHE_20000,"[(0.0, 10.0)]",['Heavyengine(lowfrequency)'],['youtu.be/-DFxxh25OHE']
-DP_cv0x_Ng_30000,"[(0.0, 10.0)]",['Bus'],['youtu.be/-DP_cv0x_Ng']
-DpmDrwUAnk_30000,"[(8.012, 10.0)]",['Tiresqueal'],['youtu.be/-DpmDrwUAnk']
-DsZ-XfJRCE_2000,"[(0.0, 9.447)]",['Mediumengine(midfrequency)'],['youtu.be/-DsZ-XfJRCE']
-Dz3wcZGd0A_10000,"[(0.0, 9.273)]",['Trafficnoise_roadwaynoise'],['youtu.be/-Dz3wcZGd0A']
-EECuqpK1lY_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-EECuqpK1lY']
-EtLB3VM1zo_30000,"[(0.0, 0.688), (3.655, 10.0)]","['Racecar_autoracing', 'Racecar_autoracing']",['youtu.be/-EtLB3VM1zo']
-Ew87_9avAQ_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-Ew87_9avAQ']
-F1_Gh78vJ0_30000,"[(0.0, 10.0)]",['Bus'],['youtu.be/-F1_Gh78vJ0']
-FMzujP68_U_18000,"[(0.0, 7.456)]",['Mediumengine(midfrequency)'],['youtu.be/-FMzujP68_U']
-FyciqeepCU_360000,"[(2.849, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-FyciqeepCU']
-G7eX4G5Frc_60000,"[(0.0, 10.0), (1.292, 5.086)]","['Racecar_autoracing', 'Tiresqueal']",['youtu.be/-G7eX4G5Frc']
-GJ-yBIiXZ8_120000,"[(0.0, 10.0)]",['Motorcycle'],['youtu.be/-GJ-yBIiXZ8']
-GUBfR-OWMk_29000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-GUBfR-OWMk']
-GqQBNJ9yz8_30000,"[(0.0, 10.0), (6.248, 10.0)]","['Racecar_autoracing', 'Tiresqueal']",['youtu.be/-GqQBNJ9yz8']
-GulJdbXIJA_10000,"[(0.0, 9.73)]",['Racecar_autoracing'],['youtu.be/-GulJdbXIJA']
-HFITphzeVY_4000,"[(0.562, 8.888)]",['Tiresqueal'],['youtu.be/-HFITphzeVY']
-HNUU7MtNsI_24000,"[(4.503, 9.358)]",['Mediumengine(midfrequency)'],['youtu.be/-HNUU7MtNsI']
-HTzStR9WCU_30000,"[(0.0, 10.0)]",['Racecar_autoracing'],['youtu.be/-HTzStR9WCU']
-HVokTN5Xbo_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-HVokTN5Xbo']
-HeQfwKbFzg_30000,"[(0.0, 10.0)]",['Bus'],['youtu.be/-HeQfwKbFzg']
-HuTNkegK0g_22000,"[(1.208, 4.989)]",['Tiresqueal'],['youtu.be/-HuTNkegK0g']
-IAow_E7txY_60000,"[(0.0, 10.0)]",['Heavyengine(lowfrequency)'],['youtu.be/-IAow_E7txY']
-II-7qJxKPc_21000,"[(0.0, 9.186)]",['Trafficnoise_roadwaynoise'],['youtu.be/-II-7qJxKPc']
-IKAEFwWwY8_2000,"[(0.0, 9.68)]",['Mediumengine(midfrequency)'],['youtu.be/-IKAEFwWwY8']
-IsCA5lBN74_30000,"[(9.079, 10.0), (0.0, 10.0)]","['Tiresqueal', 'Racecar_autoracing']",['youtu.be/-IsCA5lBN74']
-Jam3cjbeFQ_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-Jam3cjbeFQ']
-K3gBv753e8_30000,"[(3.792, 5.245)]",['Airhorn_truckhorn'],['youtu.be/-K3gBv753e8']
-K6fqZuINVI_30000,"[(0.0, 3.164), (4.423, 10.0)]","['Mediumengine(midfrequency)', 'Mediumengine(midfrequency)']",['youtu.be/-K6fqZuINVI']
-KI85vgUpdI_8000,"[(0.0, 9.413)]",['Mediumengine(midfrequency)'],['youtu.be/-KI85vgUpdI']
-KSY6W9_TrI_30000,"[(0.0, 9.447)]",['Mediumengine(midfrequency)'],['youtu.be/-KSY6W9_TrI']
-KUvnV5UpuI_270000,"[(3.796, 4.255)]",['Trainwheelssquealing'],['youtu.be/-KUvnV5UpuI']
-KZnAgk6WvU_30000,"[(0.0, 10.0)]",['Motorboat_speedboat'],['youtu.be/-KZnAgk6WvU']
-L9w0T3MSaA_23000,"[(0.0, 9.444)]",['Motorboat_speedboat'],['youtu.be/-L9w0T3MSaA']
-LFldjDb0P4_90000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-LFldjDb0P4']
-LPATQoH9Wc_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-LPATQoH9Wc']
-LVI9RMORGk_30000,"[(0.0, 10.0)]",['Racecar_autoracing'],['youtu.be/-LVI9RMORGk']
-LX4KjRvWWM_30000,"[(0.0, 10.0)]",['Motorboat_speedboat'],['youtu.be/-LX4KjRvWWM']
-Lu9YICHnBI_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-Lu9YICHnBI']
-LubBl0XP4o_30000,"[(0.0, 10.0)]",['Fixed-wingaircraft_airplane'],['youtu.be/-LubBl0XP4o']
-MgaFLJT5GM_30000,"[(8.475, 10.0)]",['Tiresqueal'],['youtu.be/-MgaFLJT5GM']
-NvfC2KhEAE_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-NvfC2KhEAE']
-O9D9xY72ZI_0,"[(0.128, 10.0)]",['Heavyengine(lowfrequency)'],['youtu.be/-O9D9xY72ZI']
-OEyvoPIkKc_30000,"[(0.0, 10.0)]",['Motorcycle'],['youtu.be/-OEyvoPIkKc']
-OTCLhPPHDI_11000,"[(0.0, 9.339)]",['Heavyengine(lowfrequency)'],['youtu.be/-OTCLhPPHDI']
-OnIgulG6Ws_30000,"[(0.42, 10.0)]",['Racecar_autoracing'],['youtu.be/-OnIgulG6Ws']
-PXCCQozeoo_30000,"[(3.54, 10.0)]",['Motorcycle'],['youtu.be/-PXCCQozeoo']
-PrBlPAGzKg_30000,"[(0.0, 10.0)]",['Motorboat_speedboat'],['youtu.be/-PrBlPAGzKg']
-QX2JPVi-U8_180000,"[(0.0, 10.0)]",['Railroadcar_trainwagon'],['youtu.be/-QX2JPVi-U8']
-QcPoXIZj1M_20000,"[(1.347, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-QcPoXIZj1M']
-QhizzB1GAE_27000,"[(0.0, 10.0)]",['Motorboat_speedboat'],['youtu.be/-QhizzB1GAE']
-QllViqHYHk_13000,"[(0.0, 9.407)]",['Mediumengine(midfrequency)'],['youtu.be/-QllViqHYHk']
-QxSFr1cYuQ_20000,"[(0.0, 10.0)]",['Railroadcar_trainwagon'],['youtu.be/-QxSFr1cYuQ']
-R9gJXtS07g_0,"[(2.934, 8.231)]",['Mediumengine(midfrequency)'],['youtu.be/-R9gJXtS07g']
-RTkyfdXVik_560000,"[(0.0, 10.0)]",['Helicopter'],['youtu.be/-RTkyfdXVik']
-RebI7GGn40_190000,"[(3.469, 5.329)]",['Tiresqueal'],['youtu.be/-RebI7GGn40']
-RpohRXb79E_12000,"[(0.0, 9.548)]",['Motorboat_speedboat'],['youtu.be/-RpohRXb79E']
-RqWDsTGlG0_30000,"[(5.854, 8.164)]",['Bus'],['youtu.be/-RqWDsTGlG0']
-S8UABOd2R8_14000,"[(0.0, 7.059)]",['Mediumengine(midfrequency)'],['youtu.be/-S8UABOd2R8']
-SP3Tsk0WhI_70000,"[(0.045, 0.322), (1.193, 1.663), (1.753, 4.174), (3.745, 4.554), (5.253, 5.667), (8.074, 8.268), (9.277, 9.575)]","['Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking', 'Carpassingby', 'Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking']",['youtu.be/-SP3Tsk0WhI']
-SVo_SniSA8_20000,"[(8.526, 9.756)]",['Tiresqueal'],['youtu.be/-SVo_SniSA8']
-SwIARLYVZM_50000,"[(0.0, 10.0)]",['Trafficnoise_roadwaynoise'],['youtu.be/-SwIARLYVZM']
-THkRqXaj3Y_1000,"[(0.0, 8.901)]",['Mediumengine(midfrequency)'],['youtu.be/-THkRqXaj3Y']
-U682YaBvYM_30000,"[(0.0, 10.0), (1.514, 1.849)]","['Trafficnoise_roadwaynoise', 'Airbrake']",['youtu.be/-U682YaBvYM']
-UKl9H9p2lI_70000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-UKl9H9p2lI']
-UlxxSvMpdw_0,"[(0.017, 5.398)]",['Heavyengine(lowfrequency)'],['youtu.be/-UlxxSvMpdw']
-V65mYvlJ7M_510000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-V65mYvlJ7M']
-VE7J8UFWgs_30000,"[(0.0, 10.0)]",['Racecar_autoracing'],['youtu.be/-VE7J8UFWgs']
-Va4lkOVRqo_16000,"[(0.0, 9.96)]",['Mediumengine(midfrequency)'],['youtu.be/-Va4lkOVRqo']
-VeHOTEM0-Y_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-VeHOTEM0-Y']
-ViWYj3IAhg_30000,"[(0.0, 2.081), (0.0, 10.0)]","['Caralarm', 'Mediumengine(midfrequency)']",['youtu.be/-ViWYj3IAhg']
-Vy-Lzs9Jk0_17000,"[(4.972, 5.652)]",['Tiresqueal'],['youtu.be/-Vy-Lzs9Jk0']
-W1ELoPqU-k_30000,"[(0.0, 10.0)]",['Motorboat_speedboat'],['youtu.be/-W1ELoPqU-k']
-WyobeAiz5Y_10000,"[(0.0, 10.0)]",['Racecar_autoracing'],['youtu.be/-WyobeAiz5Y']
-XFaShFcXIA_30000,"[(0.0, 10.0)]",['Heavyengine(lowfrequency)'],['youtu.be/-XFaShFcXIA']
-Xg8BYRXowk_23000,"[(0.0, 9.526)]",['Mediumengine(midfrequency)'],['youtu.be/-Xg8BYRXowk']
-XloZ97P7OE_30000,"[(6.912, 7.514), (7.666, 10.0)]","['Tiresqueal', 'Tiresqueal']",['youtu.be/-XloZ97P7OE']
-Xrm60vu-0Y_30000,"[(4.734, 10.0)]",['Trafficnoise_roadwaynoise'],['youtu.be/-Xrm60vu-0Y']
-Y1qiiugnk8_30000,"[(0.0, 10.0), (0.817, 1.856), (2.63, 4.846), (6.108, 9.364)]","['Trafficnoise_roadwaynoise', 'Carpassingby', 'Carpassingby', 'Carpassingby']",['youtu.be/-Y1qiiugnk8']
-Y6IN1f29es_30000,"[(9.008, 10.0)]",['Tiresqueal'],['youtu.be/-Y6IN1f29es']
-Yhxm76eRuk_10000,"[(0.0, 10.0)]",['Trafficnoise_roadwaynoise'],['youtu.be/-Yhxm76eRuk']
-Z-XLe4cJEM_30000,"[(0.0, 10.0)]",['Motorcycle'],['youtu.be/-Z-XLe4cJEM']
-ZHfICVRLLM_11000,"[(0.0, 9.387)]",['Mediumengine(midfrequency)'],['youtu.be/-ZHfICVRLLM']
-ZQyOHRlm8k_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-ZQyOHRlm8k']
-ZoDTivLPpI_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-ZoDTivLPpI']
-ZwI4ZGW7YM_30000,"[(0.0, 10.0)]",['Helicopter'],['youtu.be/-ZwI4ZGW7YM']
-_ln6-5_5q4_170000,"[(0.0, 10.0)]",['Railroadcar_trainwagon'],['youtu.be/-_ln6-5_5q4']
-_n9DCzP1Mo_70000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-_n9DCzP1Mo']
-_pIRawBnDI_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-_pIRawBnDI']
-_uQKrGuTbA_21000,"[(0.0, 2.024), (2.683, 9.142)]","['Mediumengine(midfrequency)', 'Mediumengine(midfrequency)']",['youtu.be/-_uQKrGuTbA']
-_zabUkraYc_160000,"[(0.0, 9.44), (9.826, 10.0)]","['Mediumengine(midfrequency)', 'Mediumengine(midfrequency)']",['youtu.be/-_zabUkraYc']
-a8yv-q-3gE_30000,"[(0.0, 10.0)]",['Helicopter'],['youtu.be/-a8yv-q-3gE']
-b8Pmyz3JoM_30000,"[(0.0, 10.0)]",['Fixed-wingaircraft_airplane'],['youtu.be/-b8Pmyz3JoM']
-bAXWuhTtS0_30000,"[(0.0, 5.026)]",['Motorcycle'],['youtu.be/-bAXWuhTtS0']
-bC4kGIqPBw_5000,"[(0.577, 1.285), (1.574, 1.871), (2.36, 2.544), (5.857, 6.382)]","['Tiresqueal', 'Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking', 'Airbrake']",['youtu.be/-bC4kGIqPBw']
-bgtw90UX9Q_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-bgtw90UX9Q']
-cBMc6QaYAI_0,"[(8.802, 10.0)]",['Helicopter'],['youtu.be/-cBMc6QaYAI']
-cbTlLVpd3s_30000,"[(0.0, 10.0), (4.464, 6.38)]","['Racecar_autoracing', 'Tiresqueal']",['youtu.be/-cbTlLVpd3s']
-d-T8Y9-TOg_17000,"[(0.0, 8.983)]",['Trafficnoise_roadwaynoise'],['youtu.be/-d-T8Y9-TOg']
-d0pR6cL-aA_9000,"[(0.0, 9.135)]",['Mediumengine(midfrequency)'],['youtu.be/-d0pR6cL-aA']
-dWz-PgebUI_30000,"[(0.0, 7.765)]",['Mediumengine(midfrequency)'],['youtu.be/-dWz-PgebUI']
-deJyQ4T4XE_30000,"[(0.0, 10.0)]",['Motorboat_speedboat'],['youtu.be/-deJyQ4T4XE']
-drfbfmuj70_30000,"[(0.0, 10.0)]",['Racecar_autoracing'],['youtu.be/-drfbfmuj70']
-dx7yBCBwZA_7000,"[(0.0, 9.382)]",['Mediumengine(midfrequency)'],['youtu.be/-dx7yBCBwZA']
-e5iHkhPh58_30000,"[(0.0, 9.778)]",['Mediumengine(midfrequency)'],['youtu.be/-e5iHkhPh58']
-elqHsz-zBA_8000,"[(0.0, 9.763)]",['Mediumengine(midfrequency)'],['youtu.be/-elqHsz-zBA']
-f3ThNA728A_460000,"[(0.0, 10.0)]",['Fixed-wingaircraft_airplane'],['youtu.be/-f3ThNA728A']
-fE45atpp-4_180000,"[(5.134, 10.0)]",['Trainwheelssquealing'],['youtu.be/-fE45atpp-4']
-fo3m0hiZbg_30000,"[(0.0, 10.0), (2.791, 7.12)]","['Mediumengine(midfrequency)', 'Carpassingby']",['youtu.be/-fo3m0hiZbg']
-fpyRjBxXn8_12000,"[(0.0, 9.426)]",['Trafficnoise_roadwaynoise'],['youtu.be/-fpyRjBxXn8']
-fugGzQsEYU_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-fugGzQsEYU']
-gAYyzIl2-w_40000,"[(2.849, 10.0)]",['Motorcycle'],['youtu.be/-gAYyzIl2-w']
-gZtEyguz4w_30000,"[(0.0, 2.41), (2.361, 10.0)]","['Mediumengine(midfrequency)', 'Racecar_autoracing']",['youtu.be/-gZtEyguz4w']
-h4or05bj_I_30000,"[(0.0, 10.0), (5.121, 5.58), (5.809, 6.303)]","['Bus', 'Airbrake', 'Airbrake']",['youtu.be/-h4or05bj_I']
-hGa7A7I-SQ_100000,"[(0.512, 10.0)]",['Tiresqueal'],['youtu.be/-hGa7A7I-SQ']
-hO4tEogNTE_4000,"[(0.0, 2.039), (4.011, 5.831)]","['Tiresqueal', 'Carpassingby']",['youtu.be/-hO4tEogNTE']
-i9JrqjYI3Q_30000,"[(0.0, 10.0), (6.899, 7.053), (7.402, 7.5), (7.905, 8.045), (8.408, 8.534)]","['Bus', 'Tiresqueal', 'Tiresqueal', 'Tiresqueal', 'Tiresqueal']",['youtu.be/-i9JrqjYI3Q']
-iCwC_bJb24_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-iCwC_bJb24']
-iOSktA4b14_30000,"[(0.0, 10.0)]",['Racecar_autoracing'],['youtu.be/-iOSktA4b14']
-iqxhISA_q8_30000,"[(0.0, 10.0)]",['Racecar_autoracing'],['youtu.be/-iqxhISA_q8']
-jI9ZoR74-I_30000,"[(6.938, 8.406)]",['Tiresqueal'],['youtu.be/-jI9ZoR74-I']
-jRk9-Y_Fp0_30000,"[(4.124, 4.295)]",['Vehiclehorn_carhorn_honking'],['youtu.be/-jRk9-Y_Fp0']
-kFbsH53tz8_30000,"[(0.0, 10.0)]",['Motorcycle'],['youtu.be/-kFbsH53tz8']
-kRxowDMwdQ_80000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-kRxowDMwdQ']
-kaU-fjT8C8_30000,"[(0.0, 10.0)]",['Racecar_autoracing'],['youtu.be/-kaU-fjT8C8']
-kc9G-8a9do_30000,"[(0.0, 10.0)]",['Racecar_autoracing'],['youtu.be/-kc9G-8a9do']
-kuDq6KTAAU_320000,"[(2.866, 3.591), (8.685, 9.433)]","['Trainwheelssquealing', 'Trainwheelssquealing']",['youtu.be/-kuDq6KTAAU']
-l-DEfDAvNA_30000,"[(8.669, 9.094), (7.969, 10.0)]","['Vehiclehorn_carhorn_honking', 'Carpassingby']",['youtu.be/-l-DEfDAvNA']
-lF_IqJogos_400000,"[(0.0, 1.755), (1.938, 2.569), (2.89, 4.025)]","['Airhorn_truckhorn', 'Airhorn_truckhorn', 'Airhorn_truckhorn']",['youtu.be/-lF_IqJogos']
-lJRmcWwAqk_30000,"[(0.0, 10.0)]",['Trafficnoise_roadwaynoise'],['youtu.be/-lJRmcWwAqk']
-lVWdnUSt3o_30000,"[(3.577, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-lVWdnUSt3o']
-mWNA1C7Lr8_30000,"[(0.0, 10.0), (0.225, 1.135), (8.811, 9.997)]","['Racecar_autoracing', 'Tiresqueal', 'Tiresqueal']",['youtu.be/-mWNA1C7Lr8']
-mYc9FNFfB4_0,"[(4.741, 6.139), (6.634, 9.689)]","['Trainwheelssquealing', 'Trainwheelssquealing']",['youtu.be/-mYc9FNFfB4']
-mlj06Uyuec_10000,"[(8.558, 9.941)]",['Trainwheelssquealing'],['youtu.be/-mlj06Uyuec']
-msfOfZhM-k_30000,"[(0.0, 10.0), (5.464, 6.797)]","['Trafficnoise_roadwaynoise', 'Vehiclehorn_carhorn_honking']",['youtu.be/-msfOfZhM-k']
-mstM0piLz4_30000,"[(0.0, 4.977)]",['Racecar_autoracing'],['youtu.be/-mstM0piLz4']
-nTF4wxY8BI_30000,"[(0.0, 2.247)]",['Mediumengine(midfrequency)'],['youtu.be/-nTF4wxY8BI']
-naJUdtyGSU_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-naJUdtyGSU']
-neegwztXwM_30000,"[(6.187, 10.0)]",['Motorboat_speedboat'],['youtu.be/-neegwztXwM']
-o7Wy0ePIv4_70000,"[(0.0, 1.37), (0.0, 10.0), (0.0, 10.0), (2.63, 2.795)]","['Vehiclehorn_carhorn_honking', 'Motorcycle', 'Trafficnoise_roadwaynoise', 'Vehiclehorn_carhorn_honking']",['youtu.be/-o7Wy0ePIv4']
-pBquWuzRwE_30000,"[(0.0, 10.0)]",['Heavyengine(lowfrequency)'],['youtu.be/-pBquWuzRwE']
-pVEgzu95Nc_30000,"[(0.0, 10.0)]",['Trafficnoise_roadwaynoise'],['youtu.be/-pVEgzu95Nc']
